	bitscore
0	49.3
1	50.1
2	50.1
3	50.1
4	50.1
5	50.4
6	50.8
7	51.2
8	51.6
9	51.6
10	51.6
11	51.6
12	52.0
13	52.0
14	52.4
15	52.8
16	52.8
17	53.1
18	53.5
19	53.5
20	53.9
21	53.9
22	53.9
23	53.9
24	53.9
25	53.9
26	53.9
27	54.3
28	54.3
29	54.3
30	54.7
31	55.1
32	55.1
33	55.5
34	55.8
35	56.2
36	57.0
37	57.0
38	57.4
39	57.4
40	57.4
41	58.2
42	58.2
43	58.2
44	58.2
45	58.2
46	58.5
47	58.5
48	58.5
49	58.5
50	58.5
51	58.9
52	58.9
53	59.3
54	60.1
55	60.1
56	60.5
57	60.5
58	60.5
59	60.5
60	60.5
61	60.8
62	61.2
63	61.2
64	61.2
65	61.6
66	61.6
67	61.6
68	62.0
69	62.0
70	62.0
71	62.0
72	62.0
73	62.0
74	62.0
75	62.0
76	62.0
77	62.0
78	62.4
79	62.4
80	62.4
81	62.4
82	63.2
83	63.2
84	63.2
85	63.2
86	63.5
87	63.5
88	63.5
89	63.9
90	64.3
91	64.3
92	65.1
93	65.1
94	65.1
95	65.5
96	65.5
97	65.5
98	65.5
99	65.5
100	65.9
101	65.9
102	65.9
103	65.9
104	66.2
105	66.6
106	66.6
107	67.0
108	67.0
109	67.0
110	67.0
111	67.4
112	67.4
113	67.4
114	67.4
115	67.8
116	67.8
117	67.8
118	67.8
119	67.8
120	67.8
121	67.8
122	68.2
123	68.2
124	68.2
125	68.6
126	68.9
127	68.9
128	68.9
129	68.9
130	69.3
131	69.3
132	69.7
133	69.7
134	69.7
135	69.7
136	70.1
137	70.1
138	70.1
139	70.1
140	70.1
141	70.1
142	70.1
143	70.5
144	70.5
145	70.5
146	70.5
147	70.9
148	70.9
149	70.9
150	71.2
151	71.6
152	71.6
153	72.0
154	72.0
155	72.4
156	72.4
157	72.8
158	72.8
159	72.8
160	73.2
161	73.2
162	73.2
163	73.6
164	73.6
165	73.9
166	73.9
167	74.3
168	74.3
169	74.3
170	74.3
171	74.3
172	74.3
173	75.1
174	75.1
175	75.1
176	75.1
177	75.1
178	75.1
179	75.1
180	75.5
181	75.5
182	75.5
183	75.5
184	75.9
185	75.9
186	75.9
187	76.3
188	76.3
189	76.6
190	77.0
191	77.0
192	77.0
193	77.0
194	77.4
195	77.4
196	77.4
197	77.4
198	77.4
199	77.4
200	77.4
201	77.4
202	77.4
203	77.4
204	77.4
205	77.8
206	78.2
207	78.2
208	78.2
209	78.6
210	78.6
211	78.6
212	78.6
213	79.0
214	79.0
215	79.0
216	79.3
217	79.7
218	79.7
219	79.7
220	79.7
221	79.7
222	79.7
223	79.7
224	79.7
225	80.1
226	80.1
227	80.1
228	80.5
229	80.9
230	80.9
231	80.9
232	80.9
233	81.3
234	81.3
235	81.3
236	81.6
237	81.6
238	81.6
239	81.6
240	81.6
241	82.0
242	82.0
243	82.0
244	82.0
245	82.0
246	82.0
247	82.0
248	82.0
249	82.4
250	82.4
251	82.8
252	82.8
253	82.8
254	83.2
255	83.2
256	83.2
257	83.6
258	83.6
259	84.0
260	84.3
261	84.3
262	84.3
263	84.3
264	84.3
265	84.3
266	84.3
267	84.3
268	84.7
269	85.1
270	85.5
271	85.5
272	85.9
273	85.9
274	86.3
275	86.3
276	86.3
277	87.0
278	87.0
279	87.0
280	87.0
281	87.0
282	87.4
283	87.4
284	87.8
285	87.8
286	87.8
287	87.8
288	87.8
289	88.2
290	88.2
291	88.2
292	88.2
293	88.6
294	88.6
295	88.6
296	89.0
297	89.0
298	89.0
299	89.0
300	89.0
301	89.4
302	89.4
303	89.4
304	89.7
305	89.7
306	89.7
307	89.7
308	89.7
309	89.7
310	89.7
311	89.7
312	89.7
313	90.1
314	90.1
315	90.1
316	90.1
317	90.5
318	90.5
319	90.5
320	90.5
321	90.5
322	90.9
323	90.9
324	90.9
325	90.9
326	90.9
327	91.3
328	91.3
329	91.3
330	91.3
331	91.7
332	91.7
333	91.7
334	91.7
335	91.7
336	92.0
337	92.0
338	92.0
339	92.0
340	92.4
341	92.4
342	92.4
343	92.4
344	92.4
345	93.2
346	93.2
347	93.2
348	93.2
349	93.6
350	93.6
351	93.6
352	94.0
353	94.0
354	94.0
355	94.0
356	94.0
357	94.4
358	94.4
359	94.4
360	94.4
361	94.4
362	94.4
363	94.4
364	94.7
365	94.7
366	94.7
367	94.7
368	94.7
369	94.7
370	94.7
371	95.1
372	95.1
373	95.1
374	95.1
375	95.1
376	95.1
377	95.5
378	95.5
379	95.5
380	95.9
381	95.9
382	95.9
383	96.3
384	96.7
385	96.7
386	96.7
387	96.7
388	96.7
389	97.1
390	97.1
391	97.1
392	97.1
393	97.1
394	97.1
395	97.1
396	97.1
397	97.1
398	97.1
399	97.1
400	97.4
401	97.8
402	97.8
403	97.8
404	97.8
405	97.8
406	97.8
407	97.8
408	97.8
409	97.8
410	97.8
411	98.2
412	98.2
413	98.2
414	98.2
415	98.2
416	98.6
417	98.6
418	98.6
419	98.6
420	98.6
421	99.0
422	99.0
423	99.0
424	99.0
425	99.0
426	99.4
427	99.4
428	99.4
429	99.8
430	99.8
431	99.8
432	99.8
433	99.8
434	99.8
435	100.0
436	100.0
437	100.0
438	100.0
439	100.0
440	100.0
441	100.0
442	100.0
443	100.0
444	100.0
445	100.0
446	100.0
447	100.0
448	100.0
449	100.0
450	100.0
451	101.0
452	101.0
453	101.0
454	101.0
455	101.0
456	101.0
457	101.0
458	102.0
459	102.0
460	102.0
461	102.0
462	102.0
463	102.0
464	102.0
465	102.0
466	102.0
467	102.0
468	102.0
469	102.0
470	102.0
471	102.0
472	102.0
473	102.0
474	103.0
475	103.0
476	103.0
477	103.0
478	103.0
479	104.0
480	104.0
481	104.0
482	104.0
483	104.0
484	104.0
485	104.0
486	104.0
487	104.0
488	105.0
489	105.0
490	105.0
491	105.0
492	105.0
493	105.0
494	105.0
495	105.0
496	105.0
497	105.0
498	105.0
499	106.0
500	106.0
501	106.0
502	106.0
503	106.0
504	106.0
505	106.0
506	106.0
507	107.0
508	107.0
509	107.0
510	107.0
511	107.0
512	107.0
513	107.0
514	107.0
515	107.0
516	107.0
517	107.0
518	107.0
519	107.0
520	107.0
521	107.0
522	108.0
523	108.0
524	108.0
525	108.0
526	108.0
527	108.0
528	108.0
529	108.0
530	108.0
531	108.0
532	108.0
533	108.0
534	108.0
535	108.0
536	109.0
537	109.0
538	109.0
539	109.0
540	109.0
541	109.0
542	109.0
543	109.0
544	109.0
545	109.0
546	109.0
547	109.0
548	110.0
549	110.0
550	110.0
551	110.0
552	110.0
553	110.0
554	110.0
555	110.0
556	110.0
557	110.0
558	110.0
559	111.0
560	111.0
561	111.0
562	111.0
563	111.0
564	111.0
565	111.0
566	111.0
567	111.0
568	111.0
569	111.0
570	111.0
571	112.0
572	112.0
573	112.0
574	112.0
575	112.0
576	112.0
577	112.0
578	112.0
579	112.0
580	112.0
581	112.0
582	112.0
583	112.0
584	112.0
585	112.0
586	112.0
587	112.0
588	112.0
589	113.0
590	113.0
591	113.0
592	113.0
593	113.0
594	113.0
595	113.0
596	113.0
597	113.0
598	113.0
599	114.0
600	114.0
601	114.0
602	114.0
603	114.0
604	114.0
605	114.0
606	114.0
607	114.0
608	114.0
609	114.0
610	114.0
611	114.0
612	114.0
613	114.0
614	114.0
615	114.0
616	114.0
617	114.0
618	115.0
619	115.0
620	115.0
621	115.0
622	115.0
623	115.0
624	115.0
625	115.0
626	115.0
627	115.0
628	115.0
629	115.0
630	115.0
631	115.0
632	115.0
633	116.0
634	116.0
635	116.0
636	116.0
637	116.0
638	116.0
639	116.0
640	116.0
641	116.0
642	116.0
643	117.0
644	117.0
645	117.0
646	117.0
647	117.0
648	117.0
649	117.0
650	117.0
651	117.0
652	117.0
653	117.0
654	117.0
655	117.0
656	117.0
657	118.0
658	118.0
659	118.0
660	118.0
661	118.0
662	118.0
663	118.0
664	118.0
665	118.0
666	118.0
667	118.0
668	118.0
669	119.0
670	119.0
671	119.0
672	119.0
673	119.0
674	119.0
675	119.0
676	119.0
677	119.0
678	119.0
679	119.0
680	119.0
681	120.0
682	120.0
683	120.0
684	120.0
685	120.0
686	120.0
687	120.0
688	120.0
689	120.0
690	120.0
691	120.0
692	120.0
693	121.0
694	121.0
695	121.0
696	121.0
697	121.0
698	121.0
699	121.0
700	121.0
701	121.0
702	121.0
703	121.0
704	121.0
705	121.0
706	121.0
707	121.0
708	121.0
709	122.0
710	122.0
711	122.0
712	122.0
713	122.0
714	122.0
715	122.0
716	122.0
717	122.0
718	122.0
719	122.0
720	122.0
721	122.0
722	122.0
723	122.0
724	122.0
725	122.0
726	122.0
727	122.0
728	123.0
729	123.0
730	123.0
731	123.0
732	123.0
733	123.0
734	123.0
735	123.0
736	123.0
737	123.0
738	123.0
739	124.0
740	124.0
741	124.0
742	124.0
743	124.0
744	124.0
745	124.0
746	124.0
747	124.0
748	124.0
749	124.0
750	124.0
751	124.0
752	124.0
753	124.0
754	125.0
755	125.0
756	125.0
757	125.0
758	125.0
759	125.0
760	125.0
761	125.0
762	125.0
763	125.0
764	125.0
765	125.0
766	126.0
767	126.0
768	126.0
769	126.0
770	126.0
771	126.0
772	127.0
773	127.0
774	127.0
775	127.0
776	127.0
777	127.0
778	127.0
779	127.0
780	127.0
781	127.0
782	127.0
783	127.0
784	127.0
785	127.0
786	128.0
787	128.0
788	128.0
789	128.0
790	128.0
791	128.0
792	128.0
793	128.0
794	128.0
795	128.0
796	128.0
797	128.0
798	129.0
799	129.0
800	129.0
801	129.0
802	129.0
803	129.0
804	129.0
805	129.0
806	129.0
807	129.0
808	129.0
809	129.0
810	129.0
811	129.0
812	129.0
813	129.0
814	129.0
815	129.0
816	129.0
817	129.0
818	130.0
819	130.0
820	130.0
821	130.0
822	130.0
823	130.0
824	130.0
825	130.0
826	130.0
827	130.0
828	130.0
829	130.0
830	130.0
831	130.0
832	130.0
833	130.0
834	130.0
835	130.0
836	130.0
837	130.0
838	130.0
839	130.0
840	130.0
841	130.0
842	130.0
843	131.0
844	131.0
845	131.0
846	131.0
847	131.0
848	131.0
849	131.0
850	131.0
851	131.0
852	131.0
853	132.0
854	132.0
855	132.0
856	132.0
857	132.0
858	132.0
859	132.0
860	132.0
861	132.0
862	132.0
863	132.0
864	132.0
865	132.0
866	132.0
867	132.0
868	132.0
869	132.0
870	133.0
871	133.0
872	133.0
873	133.0
874	133.0
875	133.0
876	133.0
877	133.0
878	133.0
879	133.0
880	133.0
881	133.0
882	133.0
883	133.0
884	133.0
885	134.0
886	134.0
887	134.0
888	134.0
889	134.0
890	134.0
891	134.0
892	134.0
893	134.0
894	134.0
895	134.0
896	134.0
897	134.0
898	134.0
899	134.0
900	134.0
901	134.0
902	134.0
903	134.0
904	134.0
905	134.0
906	134.0
907	134.0
908	134.0
909	135.0
910	135.0
911	135.0
912	135.0
913	135.0
914	135.0
915	135.0
916	135.0
917	135.0
918	135.0
919	135.0
920	135.0
921	136.0
922	136.0
923	136.0
924	136.0
925	136.0
926	136.0
927	136.0
928	136.0
929	136.0
930	136.0
931	136.0
932	136.0
933	136.0
934	136.0
935	136.0
936	136.0
937	136.0
938	136.0
939	136.0
940	136.0
941	137.0
942	137.0
943	137.0
944	137.0
945	137.0
946	137.0
947	137.0
948	137.0
949	137.0
950	137.0
951	137.0
952	137.0
953	137.0
954	137.0
955	137.0
956	137.0
957	138.0
958	138.0
959	138.0
960	138.0
961	138.0
962	138.0
963	138.0
964	138.0
965	138.0
966	138.0
967	138.0
968	138.0
969	139.0
970	139.0
971	139.0
