baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
NODE_100481_length_1662_cov_45.942320_g39073_i0	113.572773915437	3.72923808071227	0.749878600137065	4.97312242279034	6.58830258802177e-07	0.00100808822212697
NODE_100687_length_1658_cov_35.724701_g39182_i0	34.4412833123529	2.71331590329789	0.640120647170186	4.23875704571128	2.2476073515752e-05	0.0164578202122652
NODE_100697_length_1658_cov_14.098680_g3928_i1	20.2445864755598	-5.26307789503882	1.05206917227202	-5.00259681943995	5.65631580074262e-07	0.000894332660846084
NODE_101001_length_1653_cov_22.559899_g39352_i0	34.2776194958442	2.55567810845193	0.589650943477364	4.33422202868067	1.46276486825029e-05	0.0123167398530701
NODE_101191_length_1650_cov_9.495262_g39455_i0	19.6733114362107	-5.88886617918834	1.46798378358845	-4.01153353669421	6.03256052983171e-05	0.0365293359981099
NODE_101510_length_1645_cov_11.528517_g39631_i0	26.3052784632714	5.74516537252283	1.19916126025083	4.79098646942705	1.65963319496727e-06	0.002207172553991
NODE_101791_length_1640_cov_99.459631_g39784_i0	149.503332917096	-1.57077109876967	0.360682822553322	-4.35499280961031	1.33071286085105e-05	0.0114764709583009
NODE_102320_length_1632_cov_4.304792_g40066_i0	9.66046717753123	6.76084743499397	1.50250123439022	4.49972837309369	6.80403478665892e-06	0.00677077590333112
NODE_102651_length_1626_cov_81.184734_g1455_i41	17.9891623809499	-6.63688024402826	1.54285433845968	-4.30168945867842	1.69500755717374e-05	0.0135506331681674
NODE_103306_length_1618_cov_63.317215_g40526_i0	41.0221010032748	-8.80328604768899	1.2662851600239	-6.95205655535191	3.59999014674546e-12	1.70760732624009e-08
NODE_105002_length_1591_cov_1590.886483_g16186_i5	226.551152207859	-9.45378603467653	2.19707085089325	-4.30290449251236	1.68573529409069e-05	0.0135506331681674
NODE_10643_length_6122_cov_364.744344_g791_i3	83.317112469318	-1.8475726316689	0.462938765148363	-3.99096548131325	6.58048585938429e-05	0.0393442048413663
NODE_106913_length_1562_cov_570.146488_g42438_i0	12.5801340153436	-5.23190575399612	1.29478427178395	-4.04075479445515	5.32794436979777e-05	0.0331319229910232
NODE_107879_length_1547_cov_18.958108_g42938_i0	51.9648257070109	-4.11065146729969	0.685030245922094	-6.00068608907406	1.96485523370024e-09	5.59201729221556e-06
NODE_108128_length_1543_cov_8.600949_g43077_i0	11.636128173339	-4.47805588978028	1.13337763202884	-3.95107134924147	7.78021231264754e-05	0.0442852796920823
NODE_108140_length_1543_cov_4.462737_g43088_i0	10.6947035246897	-4.35902871854377	1.09672167885879	-3.97459884542415	7.0497979438306e-05	0.0411144793936491
NODE_109138_length_1528_cov_3.581793_g43685_i0	59.8216308915053	7.54968032833256	1.32053438062023	5.71714030253921	1.08331668826419e-08	2.56928413427804e-05
