transcript	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Cluster-109348.0_A1.NODE_1820_length_13293_cov_51.761682_g797_i1	61.5259103973627	-9.29244153068964	1.67209443741951	-5.55736645175996	2.73875381973345e-08	4.90451118325883e-05
Cluster-110425.0_A0.TRINITY_DN101509_c1_g1_i3	19.7411089269784	-2.28542809172596	0.553897586680054	-4.12608421969184	3.68992186106485e-05	0.0306792842544881
Cluster-111071.0_A0.TRINITY_DN11640_c0_g1_i5	5.25221853216568	-5.74586652972223	1.42882033428878	-4.02140590516046	5.78518171043782e-05	0.0436799981889549
Cluster-113067.0_A0.TRINITY_DN5777_c0_g2_i5	12.1083345579218	7.21327467785421	1.5432237175817	4.67416006874088	2.95159066286176e-06	0.00340728211057185
Cluster-11311.0_A0.TRINITY_DN35523_c0_g1_i3	7.10388736722288	6.44670012466304	1.53667063832669	4.19523869583594	2.72584374342463e-05	0.0237967862453309
Cluster-113318.0_A0.TRINITY_DN4005_c0_g2_i1	4.38940075236037	5.75646207488655	1.07982686022702	5.33091209981231	9.77207125314727e-08	0.00016058502173069
Cluster-115378.0_A1.NODE_92429_length_1793_cov_132.064311_g30402_i1	24.3758964642282	3.63345610485431	0.838335338177702	4.3341321060763	1.46336283672914e-05	0.0138444897625879
Cluster-117706.0_A1.NODE_51886_length_3213_cov_111.186904_g20200_i0	263.32741265821	1.23536689598666	0.291756011247009	4.23424659086378	2.29319207519158e-05	0.0204022523729195
Cluster-120187.0_A0.TRINITY_DN76582_c0_g3_i3	6.51993460807196	6.31977623896735	1.58940037498155	3.97620155276527	7.00247824792531e-05	0.0486367764574471
Cluster-120693.1_A0.TRINITY_DN156237_c0_g1_i1	4.05561041779463	4.43256355622313	1.09786777451968	4.03742933265563	5.40401158586878e-05	0.0410237903437901
Cluster-124090.0_A0.TRINITY_DN295_c0_g1_i3	32.609811791521	23.3965318247219	2.96938741168996	7.87924530582095	3.29364319655222e-15	1.27794270927114e-11
