query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
gene-ASIM_LOCUS12	7209.EFO22550.2	0.0	1437.0	KOG1932@1|root,KOG1932@2759|Eukaryota,38BC9@33154|Opisthokonta,3BGXN@33208|Metazoa,3CTF4@33213|Bilateria,40BN0@6231|Nematoda,1KTV1@119089|Chromadorea	33208|Metazoa	K	obsolete RNA polymerase II transcription factor activity, TBP-class protein binding, involved in preinitiation complex assembly	TAF2	GO:0000086,GO:0000123,GO:0000278,GO:0000428,GO:0000988,GO:0000989,GO:0001067,GO:0001076,GO:0001129,GO:0001132,GO:0003674,GO:0003676,GO:0003677,GO:0003682,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005667,GO:0005669,GO:0006139,GO:0006351,GO:0006352,GO:0006355,GO:0006357,GO:0006366,GO:0006367,GO:0006725,GO:0006807,GO:0007049,GO:0007154,GO:0007165,GO:0007166,GO:0007219,GO:0007221,GO:0007275,GO:0008134,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009790,GO:0009792,GO:0009889,GO:0009891,GO:0009893,GO:0009966,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010628,GO:0010646,GO:0016043,GO:0016070,GO:0016591,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0022402,GO:0022607,GO:0023051,GO:0023052,GO:0030880,GO:0031248,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0031334,GO:0031974,GO:0031981,GO:0032501,GO:0032502,GO:0032774,GO:0032991,GO:0033276,GO:0034622,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043254,GO:0043565,GO:0043933,GO:0044085,GO:0044087,GO:0044089,GO:0044212,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044451,GO:0044464,GO:0044770,GO:0044772,GO:0044798,GO:0044839,GO:0045893,GO:0045935,GO:0045944,GO:0046483,GO:0048518,GO:0048522,GO:0048583,GO:0048856,GO:0050789,GO:0050794,GO:0050896,GO:0051123,GO:0051128,GO:0051130,GO:0051171,GO:0051173,GO:0051252,GO:0051254,GO:0051716,GO:0055029,GO:0060255,GO:0060260,GO:0060261,GO:0061695,GO:0065003,GO:0065004,GO:0065007,GO:0070013,GO:0070461,GO:0070897,GO:0071704,GO:0071824,GO:0071840,GO:0080090,GO:0090304,GO:0090575,GO:0097159,GO:0097659,GO:0140110,GO:1901360,GO:1901362,GO:1901363,GO:1901576,GO:1901796,GO:1902493,GO:1902494,GO:1902531,GO:1902680,GO:1903047,GO:1903506,GO:1903508,GO:1990234,GO:2000112,GO:2000142,GO:2000144,GO:2001141	-	ko:K03128	ko03022,map03022	-	-	-	ko00000,ko00001,ko01002,ko03021,ko03036	-	-	-	Peptidase_M1
gene-ASIM_LOCUS13	6326.BUX.s01092.278	5.11e-216	621.0	COG0042@1|root,KOG2333@2759|Eukaryota,38F5X@33154|Opisthokonta,3BFFI@33208|Metazoa,3CZXN@33213|Bilateria,40AM5@6231|Nematoda,1KYJR@119089|Chromadorea	33208|Metazoa	J	tRNA-dihydrouridine(47) synthase NAD(P)( )	DUS3L	GO:0002943,GO:0003674,GO:0003824,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016491,GO:0016627,GO:0017150,GO:0034470,GO:0034641,GO:0034660,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0046483,GO:0055114,GO:0071704,GO:0090304,GO:0140098,GO:0140101,GO:1901360	1.3.1.89	ko:K05544	-	-	-	-	ko00000,ko01000,ko03016	-	-	-	Dus,zf-CCCH
gene-ASIM_LOCUS19	7209.EJD75840.1	8.34e-189	603.0	KOG4338@1|root,KOG4338@2759|Eukaryota,3A6BZ@33154|Opisthokonta,3BSMH@33208|Metazoa,3DA8R@33213|Bilateria	33208|Metazoa	I	von Willebrand factor (vWF) type D domain	-	-	-	-	-	-	-	-	-	-	-	-	VWD
gene-ASIM_LOCUS20	7209.EFO28238.1	6.36e-105	306.0	KOG3205@1|root,KOG3205@2759|Eukaryota,38ETA@33154|Opisthokonta,3BRI3@33208|Metazoa,3D892@33213|Bilateria,40DG9@6231|Nematoda,1KW2K@119089|Chromadorea	33208|Metazoa	T	RHO protein GDP dissociation inhibitor	-	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0016020,GO:0044424,GO:0044444,GO:0044464	-	ko:K12462	ko04722,ko04962,map04722,map04962	-	-	-	ko00000,ko00001,ko04147	-	-	-	Rho_GDI
gene-ASIM_LOCUS30	7209.EFO22295.1	3.63e-170	482.0	KOG2962@1|root,KOG2962@2759|Eukaryota,38BR6@33154|Opisthokonta,3BG8W@33208|Metazoa,3CUYD@33213|Bilateria,40BQ6@6231|Nematoda,1KYK3@119089|Chromadorea	33208|Metazoa	O	SPFH domain / Band 7 family	-	-	-	-	-	-	-	-	-	-	-	-	Band_7,MAPKK1_Int
gene-ASIM_LOCUS37	7209.EFO28251.2	1.03e-211	598.0	COG0388@1|root,COG0537@1|root,KOG0807@2759|Eukaryota,KOG3379@2759|Eukaryota,38BM9@33154|Opisthokonta,3BD0F@33208|Metazoa,3CTBC@33213|Bilateria,40AIF@6231|Nematoda,1KTMC@119089|Chromadorea	33208|Metazoa	EF	Carbon-nitrogen hydrolase	NIT1	GO:0000257,GO:0003674,GO:0003824,GO:0004551,GO:0006139,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0016462,GO:0016787,GO:0016810,GO:0016815,GO:0016817,GO:0016818,GO:0034641,GO:0044237,GO:0044238,GO:0046483,GO:0047710,GO:0071704,GO:1901360	-	ko:K11206	-	-	-	-	ko00000,ko01000	-	-	-	CN_hydrolase,HIT
gene-ASIM_LOCUS39	7209.EFO20393.2	1.92e-186	583.0	28YSA@1|root,2R5KC@2759|Eukaryota,39N88@33154|Opisthokonta,3BFB5@33208|Metazoa,3CXRS@33213|Bilateria,40AT8@6231|Nematoda,1KVAY@119089|Chromadorea	33208|Metazoa	S	Family with sequence similarity 184, A and B	FAM184A	-	-	-	-	-	-	-	-	-	-	-	FAM184
gene-ASIM_LOCUS48	7209.EFO23911.1	3.48e-56	191.0	COG0318@1|root,KOG1176@2759|Eukaryota,38D90@33154|Opisthokonta,3BIS4@33208|Metazoa,3CTVC@33213|Bilateria,40DSW@6231|Nematoda,1KYE4@119089|Chromadorea	33208|Metazoa	I	catalytic activity	-	-	6.2.1.12	ko:K01904	ko00130,ko00360,ko00940,ko01100,ko01110,map00130,map00360,map00940,map01100,map01110	M00039,M00137,M00350	R01616,R01943,R02194,R02221,R02255,R06583	RC00004,RC00131	ko00000,ko00001,ko00002,ko01000	-	-	-	AMP-binding,AMP-binding_C
gene-ASIM_LOCUS55	6238.CBG03443	4.6e-204	615.0	COG0044@1|root,KOG2584@2759|Eukaryota,38E62@33154|Opisthokonta,3B9YN@33208|Metazoa,3CV8R@33213|Bilateria,40FK4@6231|Nematoda,1KXTQ@119089|Chromadorea,40TEV@6236|Rhabditida	33208|Metazoa	F	dihydropyrimidinase activity	-	GO:0003008,GO:0003674,GO:0003824,GO:0004157,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006206,GO:0006207,GO:0006208,GO:0006725,GO:0006807,GO:0007154,GO:0007165,GO:0007264,GO:0007265,GO:0007610,GO:0007611,GO:0007613,GO:0008150,GO:0008152,GO:0008593,GO:0009056,GO:0009058,GO:0009112,GO:0009966,GO:0009967,GO:0009987,GO:0010646,GO:0010647,GO:0016787,GO:0016810,GO:0016812,GO:0018130,GO:0019856,GO:0023051,GO:0023052,GO:0023056,GO:0032501,GO:0034641,GO:0035556,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044270,GO:0044271,GO:0044281,GO:0044424,GO:0044464,GO:0045747,GO:0046112,GO:0046113,GO:0046483,GO:0046700,GO:0048518,GO:0048522,GO:0048583,GO:0048584,GO:0050789,GO:0050794,GO:0050877,GO:0050890,GO:0050896,GO:0051179,GO:0051640,GO:0051641,GO:0051642,GO:0051716,GO:0055086,GO:0061842,GO:0065007,GO:0071704,GO:0072527,GO:0072528,GO:0072529,GO:1901360,GO:1901361,GO:1901362,GO:1901564,GO:1901565,GO:1901566,GO:1901575,GO:1901576	3.5.2.2	ko:K01464	ko00240,ko00410,ko00770,ko00983,ko01100,map00240,map00410,map00770,map00983,map01100	M00046	R02269,R03055,R08227	RC00632,RC00680	ko00000,ko00001,ko00002,ko01000,ko04147	-	-	-	Amidohydro_1
gene-ASIM_LOCUS59	7209.EFO26296.1	0.0	904.0	COG0033@1|root,KOG0625@2759|Eukaryota,38BW9@33154|Opisthokonta,3BG51@33208|Metazoa,3CV12@33213|Bilateria,40BB1@6231|Nematoda,1KVAV@119089|Chromadorea	33208|Metazoa	G	Belongs to the phosphohexose mutase family	PGM1	GO:0000271,GO:0000272,GO:0000287,GO:0001725,GO:0001775,GO:0002252,GO:0002263,GO:0002274,GO:0002275,GO:0002283,GO:0002366,GO:0002376,GO:0002443,GO:0002444,GO:0002446,GO:0003674,GO:0003824,GO:0004614,GO:0005198,GO:0005488,GO:0005575,GO:0005576,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005856,GO:0005886,GO:0005911,GO:0005912,GO:0005913,GO:0005914,GO:0005924,GO:0005925,GO:0005975,GO:0005976,GO:0005977,GO:0005978,GO:0005980,GO:0005996,GO:0006006,GO:0006012,GO:0006073,GO:0006082,GO:0006090,GO:0006091,GO:0006094,GO:0006096,GO:0006112,GO:0006139,GO:0006163,GO:0006164,GO:0006165,GO:0006725,GO:0006732,GO:0006733,GO:0006753,GO:0006754,GO:0006757,GO:0006793,GO:0006796,GO:0006807,GO:0006810,GO:0006873,GO:0006874,GO:0006875,GO:0006887,GO:0006955,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009058,GO:0009059,GO:0009108,GO:0009117,GO:0009123,GO:0009124,GO:0009126,GO:0009127,GO:0009132,GO:0009135,GO:0009141,GO:0009142,GO:0009144,GO:0009145,GO:0009150,GO:0009152,GO:0009156,GO:0009161,GO:0009165,GO:0009166,GO:0009167,GO:0009168,GO:0009179,GO:0009185,GO:0009199,GO:0009201,GO:0009205,GO:0009206,GO:0009250,GO:0009251,GO:0009259,GO:0009260,GO:0009628,GO:0009898,GO:0009987,GO:0012505,GO:0014704,GO:0015629,GO:0015980,GO:0016010,GO:0016020,GO:0016051,GO:0016052,GO:0016053,GO:0016192,GO:0016310,GO:0016853,GO:0016866,GO:0016868,GO:0017144,GO:0018130,GO:0019318,GO:0019319,GO:0019320,GO:0019359,GO:0019362,GO:0019363,GO:0019388,GO:0019438,GO:0019439,GO:0019637,GO:0019693,GO:0019725,GO:0019752,GO:0030003,GO:0030016,GO:0030017,GO:0030018,GO:0030054,GO:0030055,GO:0030141,GO:0031410,GO:0031674,GO:0031974,GO:0031982,GO:0032432,GO:0032787,GO:0032940,GO:0032991,GO:0033692,GO:0034404,GO:0034637,GO:0034641,GO:0034645,GO:0034654,GO:0034655,GO:0036230,GO:0042119,GO:0042383,GO:0042592,GO:0042641,GO:0042866,GO:0043034,GO:0043167,GO:0043169,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043232,GO:0043233,GO:0043292,GO:0043299,GO:0043312,GO:0043436,GO:0044042,GO:0044237,GO:0044238,GO:0044247,GO:0044248,GO:0044249,GO:0044260,GO:0044262,GO:0044264,GO:0044270,GO:0044271,GO:0044275,GO:0044281,GO:0044282,GO:0044283,GO:0044291,GO:0044422,GO:0044424,GO:0044425,GO:0044430,GO:0044433,GO:0044444,GO:0044446,GO:0044449,GO:0044459,GO:0044464,GO:0045055,GO:0045321,GO:0046031,GO:0046034,GO:0046364,GO:0046365,GO:0046390,GO:0046394,GO:0046434,GO:0046483,GO:0046496,GO:0046700,GO:0046872,GO:0046903,GO:0046939,GO:0048878,GO:0050801,GO:0050896,GO:0051179,GO:0051186,GO:0051188,GO:0051234,GO:0051716,GO:0055065,GO:0055074,GO:0055080,GO:0055082,GO:0055086,GO:0055114,GO:0065007,GO:0065008,GO:0070013,GO:0070161,GO:0070820,GO:0071000,GO:0071214,GO:0071259,GO:0071704,GO:0071944,GO:0072330,GO:0072503,GO:0072507,GO:0072521,GO:0072522,GO:0072524,GO:0072525,GO:0090407,GO:0090665,GO:0097517,GO:0097708,GO:0098552,GO:0098562,GO:0098771,GO:0098796,GO:0098797,GO:0099080,GO:0099081,GO:0099503,GO:0099512,GO:0101002,GO:0104004,GO:1901135,GO:1901137,GO:1901292,GO:1901293,GO:1901360,GO:1901361,GO:1901362,GO:1901564,GO:1901566,GO:1901575,GO:1901576,GO:1904724,GO:1904813	5.4.2.2	ko:K01835,ko:K15636	ko00010,ko00030,ko00052,ko00230,ko00500,ko00520,ko00521,ko01100,ko01110,ko01120,ko01130,map00010,map00030,map00052,map00230,map00500,map00520,map00521,map01100,map01110,map01120,map01130	M00549	R00959,R01057,R08639	RC00408	ko00000,ko00001,ko00002,ko01000	-	-	-	PGM_PMM_I,PGM_PMM_II,PGM_PMM_III,PGM_PMM_IV
gene-ASIM_LOCUS68	7209.EFO18884.2	4.86e-100	307.0	KOG2287@1|root,KOG2287@2759|Eukaryota,3A81M@33154|Opisthokonta,3BTSW@33208|Metazoa,3D9KQ@33213|Bilateria,40DY7@6231|Nematoda,1KWSW@119089|Chromadorea	33208|Metazoa	G	Galactosyltransferase	-	GO:0003674,GO:0003824,GO:0005975,GO:0008150,GO:0008152,GO:0008194,GO:0008376,GO:0008593,GO:0009058,GO:0009636,GO:0009966,GO:0009967,GO:0010453,GO:0010470,GO:0010646,GO:0010647,GO:0016051,GO:0016740,GO:0016757,GO:0016758,GO:0022603,GO:0023051,GO:0023056,GO:0042221,GO:0042659,GO:0042661,GO:0044238,GO:0045595,GO:0045747,GO:0045995,GO:0048518,GO:0048522,GO:0048583,GO:0048584,GO:0050789,GO:0050793,GO:0050794,GO:0050896,GO:0051239,GO:0065007,GO:0071704,GO:1901576,GO:1905770,GO:1905902,GO:2000026,GO:2000027,GO:2000380	2.4.1.86	ko:K02175,ko:K07819	ko00601,ko01100,ko04320,map00601,map01100,map04320	M00070	R06006	-	ko00000,ko00001,ko00002,ko01000,ko01003	-	GT31	-	Galactosyl_T
gene-ASIM_LOCUS70	7209.EFO22258.1	1.68e-243	697.0	COG0072@1|root,KOG2472@2759|Eukaryota,38BAE@33154|Opisthokonta,3BG66@33208|Metazoa,3CUZ6@33213|Bilateria,40BW3@6231|Nematoda,1KV3Q@119089|Chromadorea	33208|Metazoa	J	B3/4 domain	FARSB	GO:0002161,GO:0003674,GO:0003824,GO:0004812,GO:0004826,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006139,GO:0006399,GO:0006412,GO:0006418,GO:0006432,GO:0006450,GO:0006518,GO:0006520,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009328,GO:0009987,GO:0010467,GO:0016043,GO:0016070,GO:0016787,GO:0016788,GO:0016874,GO:0016875,GO:0019538,GO:0019752,GO:0022607,GO:0032991,GO:0034641,GO:0034645,GO:0034660,GO:0043038,GO:0043039,GO:0043043,GO:0043170,GO:0043436,GO:0043603,GO:0043604,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0051259,GO:0051262,GO:0051290,GO:0051291,GO:0052689,GO:0065003,GO:0065007,GO:0065008,GO:0071704,GO:0071840,GO:0090304,GO:0106074,GO:0140098,GO:0140101,GO:1901360,GO:1901564,GO:1901566,GO:1901576,GO:1902494	6.1.1.20	ko:K01890	ko00970,map00970	M00359,M00360	R03660	RC00055,RC00523	ko00000,ko00001,ko00002,ko01000,ko01007,ko03016	-	-	-	B3_4,B5
gene-ASIM_LOCUS73	34506.g3936	3.22e-35	125.0	2CYWK@1|root,2S6WN@2759|Eukaryota,3APCG@33154|Opisthokonta,3BUA9@33208|Metazoa,3DHEC@33213|Bilateria,40GH0@6231|Nematoda,1KWVC@119089|Chromadorea,412I6@6236|Rhabditida	33208|Metazoa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	CX
gene-ASIM_LOCUS82	7209.EFO22258.1	1.43e-195	569.0	COG0072@1|root,KOG2472@2759|Eukaryota,38BAE@33154|Opisthokonta,3BG66@33208|Metazoa,3CUZ6@33213|Bilateria,40BW3@6231|Nematoda,1KV3Q@119089|Chromadorea	33208|Metazoa	J	B3/4 domain	FARSB	GO:0002161,GO:0003674,GO:0003824,GO:0004812,GO:0004826,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006139,GO:0006399,GO:0006412,GO:0006418,GO:0006432,GO:0006450,GO:0006518,GO:0006520,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009328,GO:0009987,GO:0010467,GO:0016043,GO:0016070,GO:0016787,GO:0016788,GO:0016874,GO:0016875,GO:0019538,GO:0019752,GO:0022607,GO:0032991,GO:0034641,GO:0034645,GO:0034660,GO:0043038,GO:0043039,GO:0043043,GO:0043170,GO:0043436,GO:0043603,GO:0043604,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0051259,GO:0051262,GO:0051290,GO:0051291,GO:0052689,GO:0065003,GO:0065007,GO:0065008,GO:0071704,GO:0071840,GO:0090304,GO:0106074,GO:0140098,GO:0140101,GO:1901360,GO:1901564,GO:1901566,GO:1901576,GO:1902494	6.1.1.20	ko:K01890	ko00970,map00970	M00359,M00360	R03660	RC00055,RC00523	ko00000,ko00001,ko00002,ko01000,ko01007,ko03016	-	-	-	B3_4,B5
