# BUSCO version is: 5.2.0 
# The lineage dataset is: diptera_odb10 (Creation date: 2020-08-05, number of genomes: 56, number of BUSCOs: 3285)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
20at7147	Complete	NC_004353.4	725716	775545	+	11757.2	7151	https://www.orthodb.org/v10?query=20at7147	Immunoglobulin-like domain
29at7147	Complete	NT_033778.4	8862956	8887811	+	9100.2	4262	https://www.orthodb.org/v10?query=29at7147	Ryanodine receptor
51at7147	Complete	NT_037436.4	4807669	4825570	-	8480.8	3978	https://www.orthodb.org/v10?query=51at7147	Dynein heavy chain
80at7147	Complete	NT_033777.3	28487536	28519314	+	7347.7	4154	https://www.orthodb.org/v10?query=80at7147	Dynein heavy chain
94at7147	Complete	NT_033777.3	10312646	10330007	-	4811.0	3066	https://www.orthodb.org/v10?query=94at7147	Ubiquitin-conjugating enzyme E2
158at7147	Complete	NT_037436.4	12755145	12768557	+	4006.7	2945	https://www.orthodb.org/v10?query=158at7147	Vacuolar protein sorting-associated protein 13
161at7147	Complete	NT_033779.5	6973574	6987248	-	6292.2	3127	https://www.orthodb.org/v10?query=161at7147	EGF-like calcium-binding, conserved site
169at7147	Complete	NT_037436.4	6204177	6215718	-	4676.2	3083	https://www.orthodb.org/v10?query=169at7147	Laminin, N-terminal
178at7147	Complete	NT_037436.4	3351566	3367767	+	6193.9	3461	https://www.orthodb.org/v10?query=178at7147	Pleckstrin homology domain
208at7147	Complete	NT_033778.4	10706532	10718906	+	5482.8	2786	https://www.orthodb.org/v10?query=208at7147	GPCR, family 2, extracellular hormone receptor domain
268at7147	Complete	NT_033779.5	17962737	17982471	-	4662.0	3213	https://www.orthodb.org/v10?query=268at7147	Dynein heavy chain
287at7147	Complete	NC_004354.4	6241466	6255347	-	4599.5	2524	https://www.orthodb.org/v10?query=287at7147	WD40-repeat-containing domain
296at7147	Complete	NT_033779.5	3790722	3802241	+	4220.1	2479	https://www.orthodb.org/v10?query=296at7147	SRCR-like domain
300at7147	Complete	NT_033777.3	27663246	27676891	+	5011.5	2726	https://www.orthodb.org/v10?query=300at7147	protein unc-80 homolog isoform X1
304at7147	Complete	NC_004354.4	20394879	20411550	+	6371.8	3701	https://www.orthodb.org/v10?query=304at7147	Cytochrome b5-like heme/steroid binding domain
328at7147	Complete	NT_033779.5	8054621	8071565	-	6724.6	4066	https://www.orthodb.org/v10?query=328at7147	protein purity of essence
329at7147	Complete	NT_033778.4	23995684	24013034	-	4446.3	2640	https://www.orthodb.org/v10?query=329at7147	Immunoglobulin-like domain
376at7147	Complete	NT_033777.3	25983294	25993782	+	4265.5	2153	https://www.orthodb.org/v10?query=376at7147	CRAL-TRIO lipid binding domain
377at7147	Complete	NT_033779.5	8043705	8053044	+	3221.2	2262	https://www.orthodb.org/v10?query=377at7147	EGF-like calcium-binding, conserved site
