	transcript	row	log2FoldChange	padj	protein_accession	sequence_identity	alignment_length	evalue	database	gene	locus_name	sequence_description	sequence_length	organism	protein_product
0	Cluster-12901.0_NODE_339159_length_453_cov_1.629534_g244181_i0	bombina_pachypus_corset_DEGS_blastp	7.01372341372351	0.0098023625824058	A0A803K2N6	42.8	145	3.62e-31	TrEMBL		A0A803K2N6_XENTR	tr|A0A803K2N6|A0A803K2N6_XENTR Reverse transcriptase domain-containing protein OS=Xenopus tropicalis OX=8364 PE=4 SV=1	275	Xenopus tropicalis	Reverse transcriptase domain-containing protein
1					A0A803KCG6	41.8	141	1.85e-25	TrEMBL		A0A803KCG6_XENTR	tr|A0A803KCG6|A0A803KCG6_XENTR Reverse transcriptase domain-containing protein OS=Xenopus tropicalis OX=8364 PE=4 SV=1	762	Xenopus tropicalis	Reverse transcriptase domain-containing protein
2					A0A8C5N1Z7	35.1	134	9.34e-18	TrEMBL		A0A8C5N1Z7_9ANUR	tr|A0A8C5N1Z7|A0A8C5N1Z7_9ANUR Reverse transcriptase domain-containing protein OS=Leptobrachium leishanense OX=445787 PE=4 SV=1	471	Leptobrachium leishanense	Reverse transcriptase domain-containing protein
3					A0A8C5M1L9	35.8	134	1.16e-17	TrEMBL		A0A8C5M1L9_9ANUR	tr|A0A8C5M1L9|A0A8C5M1L9_9ANUR Reverse transcriptase domain-containing protein OS=Leptobrachium leishanense OX=445787 PE=4 SV=1	725	Leptobrachium leishanense	Reverse transcriptase domain-containing protein
4					A0A8C5W8X4	34.3	134	1.58e-17	TrEMBL		A0A8C5W8X4_9ANUR	tr|A0A8C5W8X4|A0A8C5W8X4_9ANUR Reverse transcriptase domain-containing protein OS=Leptobrachium leishanense OX=445787 PE=4 SV=1	716	Leptobrachium leishanense	Reverse transcriptase domain-containing protein
5					KAF7642341.1	31.1	148	1.54e-16	Nr			KAF7642341.1 hypothetical protein LDENG_00259770 [Lucifuga dentata]	267	Lucifuga dentata	hypothetical protein LDENG_00259770
6					A0A8C5N1S5	36.6	123	1.88e-16	TrEMBL		A0A8C5N1S5_9ANUR	tr|A0A8C5N1S5|A0A8C5N1S5_9ANUR Reverse transcriptase domain-containing protein OS=Leptobrachium leishanense OX=445787 PE=4 SV=1	730	Leptobrachium leishanense	Reverse transcriptase domain-containing protein
7					XP_040294184.1	39.4	137	2.78e-16	Nr			XP_040294184.1 uncharacterized protein LOC121005481 [Bufo bufo]	311	Bufo bufo	uncharacterized protein LOC121005481
8					A0A8C5N1Y7	40.0	110	6.17e-16	TrEMBL		A0A8C5N1Y7_9ANUR	tr|A0A8C5N1Y7|A0A8C5N1Y7_9ANUR Reverse transcriptase domain-containing protein OS=Leptobrachium leishanense OX=445787 PE=4 SV=1	564	Leptobrachium leishanense	Reverse transcriptase domain-containing protein
9					A0A803JIM5	30.8	146	1.18e-15	TrEMBL		A0A803JIM5_XENTR	tr|A0A803JIM5|A0A803JIM5_XENTR GIY-YIG domain-containing protein OS=Xenopus tropicalis OX=8364 PE=4 SV=1	661	Xenopus tropicalis	GIY-YIG domain-containing protein
