	pident
0	21.7
1	23.3
2	26.4
3	27.0
4	27.6
5	27.8
6	27.8
7	28.7
8	29.3
9	29.3
10	29.5
11	29.6
12	30.4
13	30.4
14	30.5
15	30.6
16	30.7
17	30.8
18	30.8
19	30.8
20	30.9
21	31.1
22	31.3
23	31.6
24	31.7
25	31.7
26	31.7
27	31.8
28	31.9
29	32.2
30	32.2
31	32.5
32	32.9
33	32.9
34	33.0
35	33.1
36	33.3
37	33.3
38	33.3
39	33.3
40	33.5
41	33.6
42	33.6
43	33.7
44	33.7
45	33.7
46	33.7
47	33.8
48	33.8
49	33.9
50	33.9
51	34.0
52	34.1
53	34.3
54	34.3
55	34.3
56	34.6
57	34.7
58	34.9
59	35.0
60	35.1
61	35.2
62	35.3
63	35.3
64	35.5
65	35.9
66	36.0
67	36.0
68	36.1
69	36.1
70	36.2
71	36.2
72	36.3
73	36.4
74	36.5
75	36.6
76	36.6
77	36.6
78	36.7
79	36.7
80	36.8
81	36.9
82	36.9
83	37.1
84	37.1
85	37.1
86	37.1
87	37.3
88	37.4
89	37.4
90	37.4
91	37.5
92	37.5
93	37.6
94	37.6
95	37.7
96	37.8
97	37.8
98	37.9
99	37.9
100	38.0
101	38.0
102	38.0
103	38.1
104	38.1
105	38.2
106	38.4
107	38.5
108	38.5
109	38.5
110	38.5
111	38.5
112	38.5
113	38.6
114	38.7
115	38.8
116	38.9
117	39.1
118	39.2
119	39.3
120	39.5
121	39.5
122	39.7
123	39.7
124	39.8
125	39.8
126	39.9
127	39.9
128	39.9
129	40.0
130	40.1
131	40.2
132	40.2
133	40.2
134	40.3
135	40.4
136	40.4
137	40.6
138	40.7
139	40.8
140	40.8
141	40.8
142	40.9
143	41.0
144	41.0
145	41.1
146	41.2
147	41.2
148	41.3
149	41.5
150	41.6
151	41.7
152	41.7
153	41.8
154	41.8
155	41.9
156	41.9
157	42.0
158	42.1
159	42.2
160	42.2
161	42.2
162	42.2
163	42.3
164	42.4
165	42.4
166	42.4
167	42.5
168	42.5
169	42.5
170	42.5
171	42.6
172	42.6
173	42.7
174	42.8
175	42.8
176	42.8
177	43.0
178	43.1
179	43.1
180	43.1
181	43.2
182	43.2
183	43.3
184	43.3
185	43.4
186	43.5
187	43.6
188	43.6
189	43.7
190	43.7
191	43.7
192	43.7
193	43.7
194	43.7
195	43.8
196	43.8
197	43.9
198	43.9
199	43.9
200	44.0
201	44.0
202	44.1
203	44.1
204	44.1
205	44.1
206	44.1
207	44.1
208	44.1
209	44.1
210	44.2
211	44.3
212	44.3
213	44.3
214	44.3
215	44.3
216	44.4
217	44.4
218	44.4
219	44.4
220	44.4
221	44.4
222	44.6
223	44.7
224	44.7
225	44.7
226	44.8
227	44.8
228	44.8
229	45.0
230	45.0
231	45.0
232	45.0
233	45.0
234	45.0
235	45.0
236	45.1
237	45.1
238	45.2
239	45.3
240	45.3
241	45.3
242	45.4
243	45.4
244	45.5
245	45.5
246	45.5
247	45.5
248	45.6
249	45.6
250	45.7
251	45.7
252	45.7
253	45.7
254	45.8
255	45.9
256	46.0
257	46.0
258	46.0
259	46.1
260	46.2
261	46.2
262	46.3
263	46.4
264	46.4
265	46.4
266	46.4
267	46.5
268	46.5
269	46.6
270	46.6
271	46.6
272	46.6
273	46.7
274	46.7
275	46.7
276	46.9
277	47.0
278	47.1
279	47.1
280	47.3
281	47.5
282	47.5
283	47.5
284	47.6
285	47.6
286	47.6
287	47.6
288	47.6
289	47.7
290	47.8
291	47.8
292	47.8
293	47.8
294	47.9
295	47.9
296	47.9
297	47.9
298	48.0
299	48.0
300	48.1
301	48.1
302	48.2
303	48.2
304	48.3
305	48.3
306	48.3
307	48.4
308	48.4
309	48.4
310	48.4
311	48.5
312	48.5
313	48.5
314	48.5
315	48.5
316	48.6
317	48.6
318	48.6
