	transcript	row	log2FoldChange	padj	protein_accession	sequence_identity	alignment_length	evalue	database	gene	locus_name	sequence_description	sequence_length	organism	protein_product
0	Cluster-109348.0_A1.NODE_1820_length_13293_cov_51.761682_g797_i1	salamandra_salamandra_fast-slow_blastx	-9.29244153068964	4.90451118325883e-05	KAG6930936.1	85.1	1083	0.0	Nr			KAG6930936.1 dishevelled associated activator of morphogenesis 2 [Chelydra serpentina]	1084	Chelydra serpentina	dishevelled associated activator of morphogenesis 2
1					XP_019405160.1	84.8	1082	0.0	Nr			XP_019405160.1 PREDICTED: disheveled-associated activator of morphogenesis 2 isoform X1 [Crocodylus porosus]	1084	Crocodylus porosus	PREDICTED: disheveled-associated activator of morphogenesis 2 isoform X1
2					XP_006131817.1	84.3	1084	0.0	Nr			XP_006131817.1 disheveled-associated activator of morphogenesis 2 isoform X1 [Pelodiscus sinensis]	1083	Pelodiscus sinensis	disheveled-associated activator of morphogenesis 2 isoform X1
3					XP_034620688.1	84.6	1084	0.0	Nr			XP_034620688.1 disheveled-associated activator of morphogenesis 2 isoform X1 [Trachemys scripta elegans]	1083	Trachemys scripta elegans	disheveled-associated activator of morphogenesis 2 isoform X1
4					XP_048699425.1	84.9	1083	0.0	Nr			XP_048699425.1 disheveled-associated activator of morphogenesis 2 isoform X1 [Caretta caretta]	1084	Caretta caretta	disheveled-associated activator of morphogenesis 2 isoform X1
5					XP_042308588.1	85.3	1085	0.0	Nr			XP_042308588.1 disheveled-associated activator of morphogenesis 2 isoform X1 [Sceloporus undulatus]	1087	Sceloporus undulatus	disheveled-associated activator of morphogenesis 2 isoform X1
6					XP_044865070.1	84.0	1085	0.0	Nr			XP_044865070.1 disheveled-associated activator of morphogenesis 2 isoform X1 [Mauremys mutica]	1084	Mauremys mutica	disheveled-associated activator of morphogenesis 2 isoform X1
7					XP_040207747.1	85.4	1081	0.0	Nr			XP_040207747.1 disheveled-associated activator of morphogenesis 2 [Rana temporaria]	1080	Rana temporaria	disheveled-associated activator of morphogenesis 2
8					XP_037751474.1	84.9	1083	0.0	Nr			XP_037751474.1 disheveled-associated activator of morphogenesis 2 isoform X1 [Chelonia mydas]	1084	Chelonia mydas	disheveled-associated activator of morphogenesis 2 isoform X1
9					XP_030413148.1	84.5	1083	0.0	Nr			XP_030413148.1 disheveled-associated activator of morphogenesis 2 [Gopherus evgoodei]	1084	Gopherus evgoodei	disheveled-associated activator of morphogenesis 2
10					XP_032646082.1	84.1	1098	0.0	Nr			XP_032646082.1 disheveled-associated activator of morphogenesis 2 isoform X1 [Chelonoidis abingdonii]	1084	Chelonoidis abingdonii	disheveled-associated activator of morphogenesis 2 isoform X1
11					XP_009894334.1	84.8	1082	0.0	Nr			XP_009894334.1 PREDICTED: disheveled-associated activator of morphogenesis 2 [Dryobates pubescens]	1083	Dryobates pubescens	PREDICTED: disheveled-associated activator of morphogenesis 2
12					XP_038251719.1	84.9	1079	0.0	Nr			XP_038251719.1 disheveled-associated activator of morphogenesis 2 isoform X1 [Dermochelys coriacea]	1080	Dermochelys coriacea	disheveled-associated activator of morphogenesis 2 isoform X1
13					XP_005289555.1	84.8	1081	0.0	Nr			XP_005289555.1 disheveled-associated activator of morphogenesis 2 isoform X1 [Chrysemys picta bellii]	1082	Chrysemys picta bellii	disheveled-associated activator of morphogenesis 2 isoform X1
14					XP_015476337.1	83.6	1087	0.0	Nr			XP_015476337.1 disheveled-associated activator of morphogenesis 2 isoform X1 [Parus major]	1081	Parus major	disheveled-associated activator of morphogenesis 2 isoform X1
15					XP_039385241.1	84.8	1083	0.0	Nr			XP_039385241.1 disheveled-associated activator of morphogenesis 2 isoform X1 [Mauremys reevesii]	1084	Mauremys reevesii	disheveled-associated activator of morphogenesis 2 isoform X1
16					KAJ1148043.1	92.7	995	0.0	Nr			KAJ1148043.1 hypothetical protein NDU88_000884 [Pleurodeles waltl]	1089	Pleurodeles waltl	hypothetical protein NDU88_000884
17					XP_018118186.1	84.2	1083	0.0	Nr			XP_018118186.1 disheveled-associated activator of morphogenesis 2 [Xenopus laevis]	1083	Xenopus laevis	disheveled-associated activator of morphogenesis 2
18					XP_019338612.1	84.9	1083	0.0	Nr			XP_019338612.1 PREDICTED: disheveled-associated activator of morphogenesis 2 isoform X3 [Alligator mississippiensis]	1084	Alligator mississippiensis	PREDICTED: disheveled-associated activator of morphogenesis 2 isoform X3
19					XP_014453529.1	84.9	1083	0.0	Nr			XP_014453529.1 PREDICTED: disheveled-associated activator of morphogenesis 2 isoform X1 [Alligator mississippiensis]	1113	Alligator mississippiensis	PREDICTED: disheveled-associated activator of morphogenesis 2 isoform X1
20					XP_034964018.1	84.9	1090	0.0	Nr			XP_034964018.1 disheveled-associated activator of morphogenesis 2 isoform X1 [Zootoca vivipara]	1086	Zootoca vivipara	disheveled-associated activator of morphogenesis 2 isoform X1
21					XP_050804395.1	84.7	1083	0.0	Nr			XP_050804395.1 disheveled-associated activator of morphogenesis 2 isoform X1 [Gopherus flavomarginatus]	1084	Gopherus flavomarginatus	disheveled-associated activator of morphogenesis 2 isoform X1
22					XP_026551378.1	85.2	1088	0.0	Nr			XP_026551378.1 disheveled-associated activator of morphogenesis 2 isoform X1 [Pseudonaja textilis]	1087	Pseudonaja textilis	disheveled-associated activator of morphogenesis 2 isoform X1
