	transcript	row	log2FoldChange	padj	protein_accession	sequence_identity	alignment_length	evalue	database	gene	locus_name	sequence_description	sequence_length	organism	protein_product
0	Cluster-12901.0_NODE_339159_length_453_cov_1.629534_g244181_i0	bombina_pachypus_corset_DEGS_blastx	7.01372341372351	0.0098023625824058	A0A803K2N6	42.8	145	3.62e-31	TrEMBL		A0A803K2N6_XENTR	tr|A0A803K2N6|A0A803K2N6_XENTR Reverse transcriptase domain-containing protein OS=Xenopus tropicalis OX=8364 PE=4 SV=1	275	Xenopus tropicalis	Reverse transcriptase domain-containing protein
1					A0A803KCG6	41.8	141	1.85e-25	TrEMBL		A0A803KCG6_XENTR	tr|A0A803KCG6|A0A803KCG6_XENTR Reverse transcriptase domain-containing protein OS=Xenopus tropicalis OX=8364 PE=4 SV=1	762	Xenopus tropicalis	Reverse transcriptase domain-containing protein
2					A0A8C5N1Z7	35.1	134	9.34e-18	TrEMBL		A0A8C5N1Z7_9ANUR	tr|A0A8C5N1Z7|A0A8C5N1Z7_9ANUR Reverse transcriptase domain-containing protein OS=Leptobrachium leishanense OX=445787 PE=4 SV=1	471	Leptobrachium leishanense	Reverse transcriptase domain-containing protein
3					A0A8C5M1L9	35.8	134	1.16e-17	TrEMBL		A0A8C5M1L9_9ANUR	tr|A0A8C5M1L9|A0A8C5M1L9_9ANUR Reverse transcriptase domain-containing protein OS=Leptobrachium leishanense OX=445787 PE=4 SV=1	725	Leptobrachium leishanense	Reverse transcriptase domain-containing protein
4					A0A8C5W8X4	34.3	134	1.58e-17	TrEMBL		A0A8C5W8X4_9ANUR	tr|A0A8C5W8X4|A0A8C5W8X4_9ANUR Reverse transcriptase domain-containing protein OS=Leptobrachium leishanense OX=445787 PE=4 SV=1	716	Leptobrachium leishanense	Reverse transcriptase domain-containing protein
5					KAF7642341.1	31.1	148	1.54e-16	Nr			KAF7642341.1 hypothetical protein LDENG_00259770 [Lucifuga dentata]	267	Lucifuga dentata	hypothetical protein LDENG_00259770
6					A0A8C5N1S5	36.6	123	1.88e-16	TrEMBL		A0A8C5N1S5_9ANUR	tr|A0A8C5N1S5|A0A8C5N1S5_9ANUR Reverse transcriptase domain-containing protein OS=Leptobrachium leishanense OX=445787 PE=4 SV=1	730	Leptobrachium leishanense	Reverse transcriptase domain-containing protein
7					XP_040294184.1	39.4	137	2.78e-16	Nr			XP_040294184.1 uncharacterized protein LOC121005481 [Bufo bufo]	311	Bufo bufo	uncharacterized protein LOC121005481
8					A0A8C5N1Y7	40.0	110	6.17e-16	TrEMBL		A0A8C5N1Y7_9ANUR	tr|A0A8C5N1Y7|A0A8C5N1Y7_9ANUR Reverse transcriptase domain-containing protein OS=Leptobrachium leishanense OX=445787 PE=4 SV=1	564	Leptobrachium leishanense	Reverse transcriptase domain-containing protein
9					A0A803JIM5	30.8	146	1.18e-15	TrEMBL		A0A803JIM5_XENTR	tr|A0A803JIM5|A0A803JIM5_XENTR GIY-YIG domain-containing protein OS=Xenopus tropicalis OX=8364 PE=4 SV=1	661	Xenopus tropicalis	GIY-YIG domain-containing protein
10					XP_044141565.1	37.6	141	1.27e-15	Nr			XP_044141565.1 cytidine monophosphate-N-acetylneuraminic acid hydroxylase-like [Bufo gargarizans]	1055	Bufo gargarizans	cytidine monophosphate-N-acetylneuraminic acid hydroxylase-like
11					XP_029607817.1	35.7	126	2.98e-15	Nr			XP_029607817.1 uncharacterized protein LOC115192950 [Salmo trutta]	289	Salmo trutta	uncharacterized protein LOC115192950
12					A0A8C5P7I8	33.3	141	3.04e-15	TrEMBL		A0A8C5P7I8_9ANUR	tr|A0A8C5P7I8|A0A8C5P7I8_9ANUR Reverse transcriptase domain-containing protein OS=Leptobrachium leishanense OX=445787 PE=4 SV=1	728	Leptobrachium leishanense	Reverse transcriptase domain-containing protein
13					A0A8C5PX07	31.5	143	3.79e-15	TrEMBL		A0A8C5PX07_9ANUR	tr|A0A8C5PX07|A0A8C5PX07_9ANUR Reverse transcriptase domain-containing protein OS=Leptobrachium leishanense OX=445787 PE=4 SV=1	504	Leptobrachium leishanense	Reverse transcriptase domain-containing protein
14					A0A8C5R1Q4	31.5	143	3.96e-15	TrEMBL		A0A8C5R1Q4_9ANUR	tr|A0A8C5R1Q4|A0A8C5R1Q4_9ANUR Reverse transcriptase domain-containing protein OS=Leptobrachium leishanense OX=445787 PE=4 SV=1	564	Leptobrachium leishanense	Reverse transcriptase domain-containing protein
15					XP_044135914.1	38.6	114	8.05e-15	Nr			XP_044135914.1 uncharacterized protein LOC122927779 [Bufo gargarizans]	418	Bufo gargarizans	uncharacterized protein LOC122927779
16					A0A8J1LC42	30.4	138	9.79e-15	TrEMBL	LOC121396317	A0A8J1LC42_XENLA	tr|A0A8J1LC42|A0A8J1LC42_XENLA uncharacterized protein LOC121396317 OS=Xenopus laevis OX=8355 GN=LOC121396317 PE=4 SV=1	525	Xenopus laevis	uncharacterized protein LOC121396317
17					A0A8J1MJP0	30.4	138	1.02e-14	TrEMBL	LOC121401420	A0A8J1MJP0_XENLA	tr|A0A8J1MJP0|A0A8J1MJP0_XENLA uncharacterized protein LOC121401420 OS=Xenopus laevis OX=8355 GN=LOC121401420 PE=4 SV=1	609	Xenopus laevis	uncharacterized protein LOC121401420
18					A0A8J1M256	30.4	138	1.03e-14	TrEMBL	LOC121399279	A0A8J1M256_XENLA	tr|A0A8J1M256|A0A8J1M256_XENLA uncharacterized protein LOC121399279 OS=Xenopus laevis OX=8355 GN=LOC121399279 PE=4 SV=1	663	Xenopus laevis	uncharacterized protein LOC121399279
19					A0A8J1MKG7	30.4	138	1.04e-14	TrEMBL	LOC121401419	A0A8J1MKG7_XENLA	tr|A0A8J1MKG7|A0A8J1MKG7_XENLA uncharacterized protein LOC121401419 OS=Xenopus laevis OX=8355 GN=LOC121401419 PE=4 SV=1	688	Xenopus laevis	uncharacterized protein LOC121401419
20					A0A8J1KSI6	30.4	138	1.04e-14	TrEMBL	LOC121394168	A0A8J1KSI6_XENLA	tr|A0A8J1KSI6|A0A8J1KSI6_XENLA uncharacterized protein LOC121394168 OS=Xenopus laevis OX=8355 GN=LOC121394168 PE=4 SV=1	699	Xenopus laevis	uncharacterized protein LOC121394168
21					XP_044147138.1	38.6	114	1.05e-14	Nr			XP_044147138.1 uncharacterized protein LOC122935434 [Bufo gargarizans]	650	Bufo gargarizans	uncharacterized protein LOC122935434
22					XP_040196440.1	34.9	126	1.07e-14	Nr			XP_040196440.1 uncharacterized protein LOC120929221 [Rana temporaria]	742	Rana temporaria	uncharacterized protein LOC120929221
23					XP_041427092.1	30.4	138	2.51e-14	Nr			XP_041427092.1 uncharacterized protein LOC121396317 [Xenopus laevis]	525	Xenopus laevis	uncharacterized protein LOC121396317
24					A0A8J1L614	30.4	138	2.57e-14	TrEMBL	LOC121395471	A0A8J1L614_XENLA	tr|A0A8J1L614|A0A8J1L614_XENLA uncharacterized protein LOC121395471 OS=Xenopus laevis OX=8355 GN=LOC121395471 PE=4 SV=1	608	Xenopus laevis	uncharacterized protein LOC121395471
25					XP_041441974.1	30.4	138	2.61e-14	Nr			XP_041441974.1 uncharacterized protein LOC121401420 [Xenopus laevis]	609	Xenopus laevis	uncharacterized protein LOC121401420
26					A0A8J1LMJ6	29.2	130	2.64e-14	TrEMBL	LOC108700086	A0A8J1LMJ6_XENLA	tr|A0A8J1LMJ6|A0A8J1LMJ6_XENLA uncharacterized protein LOC108700086 OS=Xenopus laevis OX=8355 GN=LOC108700086 PE=4 SV=1	703	Xenopus laevis	uncharacterized protein LOC108700086
27					XP_041435406.1	30.4	138	2.65e-14	Nr			XP_041435406.1 uncharacterized protein LOC121399279 [Xenopus laevis]	663	Xenopus laevis	uncharacterized protein LOC121399279
28					XP_041441973.1	30.4	138	2.67e-14	Nr			XP_041441973.1 uncharacterized protein LOC121401419 [Xenopus laevis]	688	Xenopus laevis	uncharacterized protein LOC121401419
29					XP_041420270.1	30.4	138	2.67e-14	Nr			XP_041420270.1 uncharacterized protein LOC121394168 [Xenopus laevis]	699	Xenopus laevis	uncharacterized protein LOC121394168
30					XP_040183651.1	32.8	128	2.83e-14	Nr			XP_040183651.1 uncharacterized protein LOC120916780 [Rana temporaria]	1154	Rana temporaria	uncharacterized protein LOC120916780
31					A0A8J1KSS4	33.3	120	4.78e-14	TrEMBL	LOC121394191	A0A8J1KSS4_XENLA	tr|A0A8J1KSS4|A0A8J1KSS4_XENLA uncharacterized protein LOC121394191 OS=Xenopus laevis OX=8355 GN=LOC121394191 PE=4 SV=1	613	Xenopus laevis	uncharacterized protein LOC121394191
32					XP_040188254.1	30.4	138	4.87e-14	Nr			XP_040188254.1 uncharacterized protein LOC120920313 [Rana temporaria]	618	Rana temporaria	uncharacterized protein LOC120920313
33					XP_040179872.1	36.1	133	5.02e-14	Nr			XP_040179872.1 uncharacterized protein LOC120913749 [Rana temporaria]	761	Rana temporaria	uncharacterized protein LOC120913749
34					XP_040189948.1	33.8	142	5.28e-14	Nr			XP_040189948.1 extracellular calcium-sensing receptor-like [Rana temporaria]	1218	Rana temporaria	extracellular calcium-sensing receptor-like
35					XP_041424973.1	30.4	138	6.61e-14	Nr			XP_041424973.1 uncharacterized protein LOC121395471 [Xenopus laevis]	608	Xenopus laevis	uncharacterized protein LOC121395471
36					XP_041430795.1	29.2	130	6.77e-14	Nr			XP_041430795.1 uncharacterized protein LOC108700086 [Xenopus laevis]	703	Xenopus laevis	uncharacterized protein LOC108700086
