	transcript	row	log2FoldChange	padj	protein_accession	sequence_identity	alignment_length	evalue	database	gene	locus_name	sequence_description	sequence_length	organism	protein_product
0	Cluster-100188.0_A0.TRINITY_DN3407_c2_g1_i7	salamandra_salamandra_sud-nord_blastp	2.47486179713128	2.35185206532004e-06	KAJ1134922.1	59.9	202	6.910000000000001e-75	Nr			KAJ1134922.1 hypothetical protein NDU88_001368 [Pleurodeles waltl]	530	Pleurodeles waltl	hypothetical protein NDU88_001368
1					KAJ1134916.1	60.2	201	3.64e-74	Nr			KAJ1134916.1 hypothetical protein NDU88_001362 [Pleurodeles waltl]	486	Pleurodeles waltl	hypothetical protein NDU88_001362
2					KAJ1134919.1	61.0	195	5.97e-74	Nr			KAJ1134919.1 hypothetical protein NDU88_001365 [Pleurodeles waltl]	492	Pleurodeles waltl	hypothetical protein NDU88_001365
3					KAJ1134843.1	59.6	193	2.19e-69	Nr			KAJ1134843.1 hypothetical protein NDU88_001289 [Pleurodeles waltl]	472	Pleurodeles waltl	hypothetical protein NDU88_001289
4					KAJ1134729.1	58.2	201	2.32e-68	Nr			KAJ1134729.1 hypothetical protein NDU88_001176 [Pleurodeles waltl]	484	Pleurodeles waltl	hypothetical protein NDU88_001176
5					KAJ1134700.1	57.9	197	1.26e-67	Nr			KAJ1134700.1 hypothetical protein NDU88_001147 [Pleurodeles waltl]	483	Pleurodeles waltl	hypothetical protein NDU88_001147
6					KAJ1134966.1	55.9	204	2.3299999999999997e-67	Nr			KAJ1134966.1 hypothetical protein NDU88_001412 [Pleurodeles waltl]	480	Pleurodeles waltl	hypothetical protein NDU88_001412
7					KAJ1134726.1	58.9	197	3.53e-67	Nr			KAJ1134726.1 hypothetical protein NDU88_001173 [Pleurodeles waltl]	483	Pleurodeles waltl	hypothetical protein NDU88_001173
8					KAJ1134913.1	53.4	204	5.77e-67	Nr			KAJ1134913.1 hypothetical protein NDU88_001359 [Pleurodeles waltl]	475	Pleurodeles waltl	hypothetical protein NDU88_001359
9					KAJ1134714.1	57.2	201	7.179999999999999e-67	Nr			KAJ1134714.1 hypothetical protein NDU88_001161 [Pleurodeles waltl]	484	Pleurodeles waltl	hypothetical protein NDU88_001161
10					KAJ1134860.1	57.7	182	3.79e-66	Nr			KAJ1134860.1 hypothetical protein NDU88_001306 [Pleurodeles waltl]	191	Pleurodeles waltl	hypothetical protein NDU88_001306
11					KAJ1134748.1	50.7	207	1.03e-63	Nr			KAJ1134748.1 hypothetical protein NDU88_001195 [Pleurodeles waltl]	487	Pleurodeles waltl	hypothetical protein NDU88_001195
12					KAJ1134703.1	56.9	197	2.62e-63	Nr			KAJ1134703.1 hypothetical protein NDU88_001150 [Pleurodeles waltl]	483	Pleurodeles waltl	hypothetical protein NDU88_001150
13					KAJ1134759.1	50.7	223	2.66e-63	Nr			KAJ1134759.1 hypothetical protein NDU88_001206 [Pleurodeles waltl]	427	Pleurodeles waltl	hypothetical protein NDU88_001206
14					KAJ1134690.1	55.9	186	1.63e-62	Nr			KAJ1134690.1 hypothetical protein NDU88_001139 [Pleurodeles waltl]	503	Pleurodeles waltl	hypothetical protein NDU88_001139
15					KAJ1134777.1	55.0	189	4.99e-62	Nr			KAJ1134777.1 hypothetical protein NDU88_001224 [Pleurodeles waltl]	523	Pleurodeles waltl	hypothetical protein NDU88_001224
16					KAJ1134908.1	58.0	176	3.3e-60	Nr			KAJ1134908.1 hypothetical protein NDU88_001354 [Pleurodeles waltl]	182	Pleurodeles waltl	hypothetical protein NDU88_001354
17					KAJ1134727.1	55.9	179	7.81e-60	Nr			KAJ1134727.1 hypothetical protein NDU88_001174 [Pleurodeles waltl]	209	Pleurodeles waltl	hypothetical protein NDU88_001174
18					KAJ1134842.1	56.7	178	1.0700000000000001e-59	Nr			KAJ1134842.1 hypothetical protein NDU88_001288 [Pleurodeles waltl]	208	Pleurodeles waltl	hypothetical protein NDU88_001288
19					KAJ1134756.1	54.2	177	1.5e-57	Nr			KAJ1134756.1 hypothetical protein NDU88_001203 [Pleurodeles waltl]	177	Pleurodeles waltl	hypothetical protein NDU88_001203
20					KAJ1134749.1	52.4	210	6.47e-57	Nr			KAJ1134749.1 hypothetical protein NDU88_001196 [Pleurodeles waltl]	569	Pleurodeles waltl	hypothetical protein NDU88_001196
21					KAJ1134970.1	54.3	188	6.98e-57	Nr			KAJ1134970.1 hypothetical protein NDU88_001416 [Pleurodeles waltl]	472	Pleurodeles waltl	hypothetical protein NDU88_001416
22					KAJ1191093.1	48.1	206	1.05e-53	Nr			KAJ1191093.1 hypothetical protein NDU88_000409 [Pleurodeles waltl]	496	Pleurodeles waltl	hypothetical protein NDU88_000409
23					KAJ1134959.1	49.5	194	9.63e-53	Nr			KAJ1134959.1 hypothetical protein NDU88_001405 [Pleurodeles waltl]	242	Pleurodeles waltl	hypothetical protein NDU88_001405
24					XP_044840096.1	49.7	177	5.89e-51	Nr			XP_044840096.1 E3 ubiquitin-protein ligase TRIM39-like, partial [Mauremys mutica]	183	Mauremys mutica	E3 ubiquitin-protein ligase TRIM39-like, partial
25					K7FSN7	51.6	188	7.18e-51	TrEMBL		K7FSN7_PELSI	tr|K7FSN7|K7FSN7_PELSI Butyrophilin subfamily 1 member A1-like OS=Pelodiscus sinensis OX=13735 PE=4 SV=1	463	Pelodiscus sinensis	Butyrophilin subfamily 1 member A1-like
26					A0A4D9DKS6	48.6	185	3.33e-50	TrEMBL	DR999_PMT21371	A0A4D9DKS6_9SAUR	tr|A0A4D9DKS6|A0A4D9DKS6_9SAUR Methylcrotonoyl-CoA carboxylase OS=Platysternon megacephalum OX=55544 GN=DR999_PMT21371 PE=4 SV=1	202	Platysternon megacephalum	Methylcrotonoyl-CoA carboxylase
27					A0A8C8SPG9	47.8	184	9.78e-49	TrEMBL		A0A8C8SPG9_9SAUR	tr|A0A8C8SPG9|A0A8C8SPG9_9SAUR B30.2/SPRY domain-containing protein OS=Pelusios castaneus OX=367368 PE=4 SV=1	270	Pelusios castaneus	B30.2/SPRY domain-containing protein
28					A0A8C8SBH9	48.1	189	3.9299999999999995e-48	TrEMBL		A0A8C8SBH9_9SAUR	tr|A0A8C8SBH9|A0A8C8SBH9_9SAUR Butyrophilin subfamily 1 member A1-like OS=Pelusios castaneus OX=367368 PE=3 SV=1	456	Pelusios castaneus	Butyrophilin subfamily 1 member A1-like
29					M7ARV0	48.1	183	5.92e-48	TrEMBL	UY3_17324	M7ARV0_CHEMY	tr|M7ARV0|M7ARV0_CHEMY Tripartite motif-containing protein 10 OS=Chelonia mydas OX=8469 GN=UY3_17324 PE=3 SV=1	477	Chelonia mydas	Tripartite motif-containing protein 10
30					A0A8T3CX38	46.6	191	9.489999999999999e-48	TrEMBL	AGOR_G00187240	A0A8T3CX38_9TELE	tr|A0A8T3CX38|A0A8T3CX38_9TELE Butyrophilin subfamily 1 member A1-like OS=Albula goreensis OX=1534307 GN=AGOR_G00187240 PE=4 SV=1	357	Albula goreensis	Butyrophilin subfamily 1 member A1-like
31					A0A674K420	47.3	188	1.06e-47	TrEMBL		A0A674K420_TERCA	tr|A0A674K420|A0A674K420_TERCA Butyrophilin subfamily 1 member A1-like OS=Terrapene carolina triunguis OX=2587831 PE=4 SV=1	490	Terrapene carolina triunguis	Butyrophilin subfamily 1 member A1-like
32					A0A8T3CWH5	40.9	208	1.7500000000000001e-47	TrEMBL	AGOR_G00187190	A0A8T3CWH5_9TELE	tr|A0A8T3CWH5|A0A8T3CWH5_9TELE B30.2/SPRY domain-containing protein OS=Albula goreensis OX=1534307 GN=AGOR_G00187190 PE=4 SV=1	463	Albula goreensis	B30.2/SPRY domain-containing protein
33					A0A6I8PBE6	43.9	189	6.870000000000001e-47	TrEMBL		A0A6I8PBE6_ORNAN	tr|A0A6I8PBE6|A0A6I8PBE6_ORNAN B30.2/SPRY domain-containing protein OS=Ornithorhynchus anatinus OX=9258 PE=4 SV=1	326	Ornithorhynchus anatinus	B30.2/SPRY domain-containing protein
34					A0A3B3UQM0	44.7	188	7.47e-47	TrEMBL		A0A3B3UQM0_9TELE	tr|A0A3B3UQM0|A0A3B3UQM0_9TELE B30.2/SPRY domain-containing protein OS=Poecilia latipinna OX=48699 PE=4 SV=1	216	Poecilia latipinna	B30.2/SPRY domain-containing protein
35					A0A8C3P7D5	48.7	187	9.51e-47	TrEMBL		A0A8C3P7D5_CHRPI	tr|A0A8C3P7D5|A0A8C3P7D5_CHRPI B30.2/SPRY domain-containing protein OS=Chrysemys picta bellii OX=8478 PE=4 SV=1	339	Chrysemys picta bellii	B30.2/SPRY domain-containing protein
36					A0A8T1RV78	45.9	183	1.09e-46	TrEMBL	G0U57_018490	A0A8T1RV78_CHESE	tr|A0A8T1RV78|A0A8T1RV78_CHESE Tripartite motif-containing 39 OS=Chelydra serpentina OX=8475 GN=G0U57_018490 PE=4 SV=1	229	Chelydra serpentina	Tripartite motif-containing 39
37					A0A8C8SLS5	48.9	180	1.47e-46	TrEMBL		A0A8C8SLS5_9SAUR	tr|A0A8C8SLS5|A0A8C8SLS5_9SAUR B30.2/SPRY domain-containing protein OS=Pelusios castaneus OX=367368 PE=4 SV=1	302	Pelusios castaneus	B30.2/SPRY domain-containing protein
38					A0A8T1RZD0	47.8	184	1.47e-46	TrEMBL	G0U57_004400	A0A8T1RZD0_CHESE	tr|A0A8T1RZD0|A0A8T1RZD0_CHESE Butyrophilin subfamily 1 member A1-like OS=Chelydra serpentina OX=8475 GN=G0U57_004400 PE=4 SV=1	434	Chelydra serpentina	Butyrophilin subfamily 1 member A1-like
39					A0A6P7XJM4	48.9	188	1.48e-46	TrEMBL	LOC115466343	A0A6P7XJM4_9AMPH	tr|A0A6P7XJM4|A0A6P7XJM4_9AMPH butyrophilin subfamily 1 member A1-like OS=Microcaecilia unicolor OX=1415580 GN=LOC115466343 PE=3 SV=1	487	Microcaecilia unicolor	butyrophilin subfamily 1 member A1-like
40					A0A674JVI1	47.3	188	1.56e-46	TrEMBL		A0A674JVI1_TERCA	tr|A0A674JVI1|A0A674JVI1_TERCA Butyrophilin subfamily 1 member A1-like OS=Terrapene carolina triunguis OX=2587831 PE=3 SV=1	529	Terrapene carolina triunguis	Butyrophilin subfamily 1 member A1-like
41					K7G421	47.1	187	2.03e-46	TrEMBL		K7G421_PELSI	tr|K7G421|K7G421_PELSI BT1A1 protein OS=Pelodiscus sinensis OX=13735 PE=3 SV=1	450	Pelodiscus sinensis	BT1A1 protein
42					A0A1S3GP92	48.3	172	2.04e-46	TrEMBL	LOC105999997	A0A1S3GP92_DIPOR	tr|A0A1S3GP92|A0A1S3GP92_DIPOR butyrophilin subfamily 1 member A1-like OS=Dipodomys ordii OX=10020 GN=LOC105999997 PE=3 SV=1	486	Dipodomys ordii	butyrophilin subfamily 1 member A1-like
43					A0A8C8SRA2	48.9	180	3e-46	TrEMBL		A0A8C8SRA2_9SAUR	tr|A0A8C8SRA2|A0A8C8SRA2_9SAUR B30.2/SPRY domain-containing protein OS=Pelusios castaneus OX=367368 PE=4 SV=1	303	Pelusios castaneus	B30.2/SPRY domain-containing protein
44					A0A2Y9E0J0	46.4	181	4.05e-46	TrEMBL	LOC101356490	A0A2Y9E0J0_TRIMA	tr|A0A2Y9E0J0|A0A2Y9E0J0_TRIMA butyrophilin subfamily 1 member A1 OS=Trichechus manatus latirostris OX=127582 GN=LOC101356490 PE=3 SV=1	526	Trichechus manatus latirostris	butyrophilin subfamily 1 member A1
45					A0A8C8SSZ1	49.5	182	4.11e-46	TrEMBL		A0A8C8SSZ1_9SAUR	tr|A0A8C8SSZ1|A0A8C8SSZ1_9SAUR B30.2/SPRY domain-containing protein OS=Pelusios castaneus OX=367368 PE=4 SV=1	215	Pelusios castaneus	B30.2/SPRY domain-containing protein
46					A0A250Y1I7	48.2	168	4.9399999999999996e-46	TrEMBL		A0A250Y1I7_CASCN	tr|A0A250Y1I7|A0A250Y1I7_CASCN Butyrophilin subfamily 1 member A1-like protein OS=Castor canadensis OX=51338 PE=4 SV=1	479	Castor canadensis	Butyrophilin subfamily 1 member A1-like protein
47					A0A8B7UGM1	48.2	168	5.12e-46	TrEMBL	LOC109686012	A0A8B7UGM1_CASCN	tr|A0A8B7UGM1|A0A8B7UGM1_CASCN Butyrophilin subfamily 1 member A1-like OS=Castor canadensis OX=51338 GN=LOC109686012 PE=4 SV=1	481	Castor canadensis	Butyrophilin subfamily 1 member A1-like
48					A0A6I9KH03	44.8	181	5.66e-46	TrEMBL	LOC102842051	A0A6I9KH03_CHRAS	tr|A0A6I9KH03|A0A6I9KH03_CHRAS butyrophilin subfamily 1 member A1-like OS=Chrysochloris asiatica OX=185453 GN=LOC102842051 PE=3 SV=1	526	Chrysochloris asiatica	butyrophilin subfamily 1 member A1-like
49					A0A8T1RX91	44.0	209	6.76e-46	TrEMBL	G0U57_008094	A0A8T1RX91_CHESE	tr|A0A8T1RX91|A0A8T1RX91_CHESE Butyrophilin subfamily 1 member A1 OS=Chelydra serpentina OX=8475 GN=G0U57_008094 PE=4 SV=1	335	Chelydra serpentina	Butyrophilin subfamily 1 member A1
50					P19474	45.4	183	2.67e-45	Swiss-Prot	TRIM21	RO52_HUMAN	sp|P19474|RO52_HUMAN E3 ubiquitin-protein ligase TRIM21 OS=Homo sapiens OX=9606 GN=TRIM21 PE=1 SV=1	475	Homo sapiens	E3 ubiquitin-protein ligase TRIM21
51					P18892	43.6	181	4.32e-45	Swiss-Prot	BTN1A1	BT1A1_BOVIN	sp|P18892|BT1A1_BOVIN Butyrophilin subfamily 1 member A1 OS=Bos taurus OX=9913 GN=BTN1A1 PE=1 SV=2	526	Bos taurus	Butyrophilin subfamily 1 member A1
52					Q13410	43.1	181	4.42e-44	Swiss-Prot	BTN1A1	BT1A1_HUMAN	sp|Q13410|BT1A1_HUMAN Butyrophilin subfamily 1 member A1 OS=Homo sapiens OX=9606 GN=BTN1A1 PE=1 SV=3	526	Homo sapiens	Butyrophilin subfamily 1 member A1
53					Q62556	43.5	184	2.2600000000000002e-43	Swiss-Prot	Btn1a1	BT1A1_MOUSE	sp|Q62556|BT1A1_MOUSE Butyrophilin subfamily 1 member A1 OS=Mus musculus OX=10090 GN=Btn1a1 PE=1 SV=2	524	Mus musculus	Butyrophilin subfamily 1 member A1
54					P14373	40.9	208	1.0099999999999999e-42	Swiss-Prot	TRIM27	TRI27_HUMAN	sp|P14373|TRI27_HUMAN Zinc finger protein RFP OS=Homo sapiens OX=9606 GN=TRIM27 PE=1 SV=1	513	Homo sapiens	Zinc finger protein RFP
55					Q62158	40.9	208	1.0099999999999999e-42	Swiss-Prot	Trim27	TRI27_MOUSE	sp|Q62158|TRI27_MOUSE Zinc finger protein RFP OS=Mus musculus OX=10090 GN=Trim27 PE=1 SV=2	513	Mus musculus	Zinc finger protein RFP
56					Q9JLN5	45.8	190	2.7999999999999997e-42	Swiss-Prot	Ermap	ERMAP_MOUSE	sp|Q9JLN5|ERMAP_MOUSE Erythroid membrane-associated protein OS=Mus musculus OX=10090 GN=Ermap PE=1 SV=2	566	Mus musculus	Erythroid membrane-associated protein
57					A4QPC6	41.0	183	5.3999999999999993e-42	Swiss-Prot	Btn2a2	BT2A2_MOUSE	sp|A4QPC6|BT2A2_MOUSE Butyrophilin subfamily 2 member A2 OS=Mus musculus OX=10090 GN=Btn2a2 PE=1 SV=1	514	Mus musculus	Butyrophilin subfamily 2 member A2
58					Q7YRV4	39.7	199	2.84e-41	Swiss-Prot	TRIM21	RO52_BOVIN	sp|Q7YRV4|RO52_BOVIN E3 ubiquitin-protein ligase TRIM21 OS=Bos taurus OX=9913 GN=TRIM21 PE=2 SV=1	469	Bos taurus	E3 ubiquitin-protein ligase TRIM21
59					Q8WVV5	44.8	172	3.2e-40	Swiss-Prot	BTN2A2	BT2A2_HUMAN	sp|Q8WVV5|BT2A2_HUMAN Butyrophilin subfamily 2 member A2 OS=Homo sapiens OX=9606 GN=BTN2A2 PE=1 SV=2	523	Homo sapiens	Butyrophilin subfamily 2 member A2
60					Q96PL5	43.2	183	3.2e-40	Swiss-Prot	ERMAP	ERMAP_HUMAN	sp|Q96PL5|ERMAP_HUMAN Erythroid membrane-associated protein OS=Homo sapiens OX=9606 GN=ERMAP PE=1 SV=1	475	Homo sapiens	Erythroid membrane-associated protein
61					Q5R7W8	39.6	187	4.7399999999999996e-40	Swiss-Prot	BTN2A2	BT2A2_PONAB	sp|Q5R7W8|BT2A2_PONAB Butyrophilin subfamily 2 member A2 OS=Pongo abelii OX=9601 GN=BTN2A2 PE=2 SV=1	528	Pongo abelii	Butyrophilin subfamily 2 member A2
